 ,Area,X,Y
1,0,39.833,222.667
2,0,217.000,194.250
3,0,244.250,144.250
4,0,260.750,194.500
5,0,492.000,204.250
6,0,570.250,203.500
7,0,601.167,220.500
8,0,451.000,217.000
9,0,320.500,234.000
10,0,272.500,237.500
11,0,240.500,237.000
12,0,216.500,241.167
13,0,156.167,237.500
14,0,42.833,226.167
