 ,Area,X,Y
1,0,43.000,232.125
2,0,207.000,181.667
3,0,261.500,145.500
4,0,279.750,186.500
5,0,453.500,213.500
6,0,598.167,166.500
7,0,501.500,257.833
8,0,452.833,234.167
9,0,319.167,242.500
10,0,291.833,246.500
11,0,186.833,239.167
12,0,156.833,240.000
13,0,116.000,236.625
14,0,90.250,240.500
