 ,Area,Mean,Min,Max,X,Y
1,0,15,15,15,42.000,169.000
2,0,15,15,15,241.500,132.500
3,0,6,6,6,302.500,128.500
4,0,15,15,15,278.500,133.500
5,0,15,15,15,478.500,166.500
6,0,1,1,1,601.500,132.500
7,0,15,15,15,523.500,213.500
8,0,6,6,6,464.500,183.500
9,0,15,15,15,391.500,199.500
10,0,15,15,15,347.500,213.500
11,0,8,8,8,188.500,197.500
12,0,6,6,6,161.500,196.500
13,0,15,15,15,122.500,187.500
14,0,15,15,15,91.500,196.500
