Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   781368","USNMENT00781368","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias chlorocoma","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:16:00","http://n2t.net/ark:/65665/3af92d0a1-1ea8-451e-9615-70924580671d"
"USNMENT   781369","USNMENT00781369","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias chlorocoma","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3758f8d1f-664a-4af1-9cec-7b2d5cbc6dfb"
"USNMENT   781313","USNMENT00781313","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias christina","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/30e304a4c-6038-4d8f-af72-8b74957577bd"
"USNMENT   781314","USNMENT00781314","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias christina","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f38043fe-f52d-4834-95df-a6e26e6abe6f"
"USNMENT   781357","USNMENT00781357","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias christophi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3b36187ca-884c-4a11-ac93-88c56232ac57"
"USNMENT   781356","USNMENT00781356","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias christophi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:16:00","http://n2t.net/ark:/65665/35e03a22d-8021-4def-a90e-12063c74bac6"
"USNMENT   781398","USNMENT00781398","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias chrysotheme","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3525c3f09-2e55-4cbe-893e-83631bf55f0b"
"USNMENT   781399","USNMENT00781399","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias chrysotheme","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31e87e167-709c-44cc-a836-03106509896e"
"USNMENT   781344","USNMENT00781344","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias cocandica","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:17:00","http://n2t.net/ark:/65665/37ccbb5bf-de8d-42f9-be27-fa1a25acfc0d"
"USNMENT   781343","USNMENT00781343","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias cocandica","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/345f99bda-26da-41eb-bc13-204c02102864"
"USNMENT   781402","USNMENT00781402","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias croceus","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:17:00","http://n2t.net/ark:/65665/399dc2416-7208-4b43-8366-0e30f60ea5f4"
"USNMENT   781403","USNMENT00781403","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias croceus","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/368681ecc-697b-433d-a676-604cabb3bfd1"
"USNMENT   781333","USNMENT00781333","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias dimera","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:18:00","http://n2t.net/ark:/65665/37b4cce41-6cdc-4f17-8bf4-ef98dd117832"
"USNMENT   781334","USNMENT00781334","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias dimera","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e85abcea-45c8-4830-897e-933d1fb4f2b0"
"USNMENT   781373","USNMENT00781373","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias diva","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:19:00","http://n2t.net/ark:/65665/3ac4e570d-f2d4-4315-a2b0-db4ccf17c316"
"USNMENT   781372","USNMENT00781372","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias diva","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:19:00","http://n2t.net/ark:/65665/3f170fcb2-8d89-43ad-8b33-dacb7b482310"
"USNMENT   781408","USNMENT00781408","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias electo","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"Under Review, 2022, As of January 2022 images and data for this specimen are under review.","","","","","","","","09 Feb 2022 21:05:00","http://n2t.net/ark:/65665/33c6ab7c0-11c5-49c3-8f1d-dda26bcbe49b"
"USNMENT   781409 1407","USNMENT00781409 1407","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias electo","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","09 Feb 2022 21:03:00","http://n2t.net/ark:/65665/38c32bf17-b7ec-46cd-96a4-306ae419303e"
"USNMENT   781386","USNMENT00781386","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias eogene","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/350a66142-877f-4cf5-9f11-9b2d78f50211"
"USNMENT   781387","USNMENT00781387","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias eogene","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:20:00","http://n2t.net/ark:/65665/3e0b7bf29-effe-445d-8969-aa527fb65e7c"
"USNMENT   781364","USNMENT00781364","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias erate","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/312079a02-6e20-42a0-ad66-e64b7627c1f6"
"USNMENT   781365","USNMENT00781365","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias erate","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3fcca700c-cba7-4e88-a661-0acf8099251d"
"USNMENT   781395","USNMENT00781395","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias erschoffi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:20:00","http://n2t.net/ark:/65665/3187fc1d5-c9a8-4a90-8db4-62781b831491"
"USNMENT   781394","USNMENT00781394","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias erschoffi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:20:00","http://n2t.net/ark:/65665/3b477f442-29db-4582-ac80-121dde52ad1f"
"USNMENT   781329","USNMENT00781329","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias eurytheme","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3135d3f9e-914f-420e-ad93-e6960a498ef8"
"USNMENT   781330","USNMENT00781330","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias eurytheme","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3eea8cfa7-8fea-4c57-bbe2-b4c4ec8c4634"
"USNMENT   781336","USNMENT00781336","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias euxanthe","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:21:00","http://n2t.net/ark:/65665/3ad98e7e7-ce88-4986-994e-3d208288b20c"
"USNMENT   781335","USNMENT00781335","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias euxanthe","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/303ce1ed9-66e9-4c09-bb88-4f827200d2d2"
"USNMENT   781405","USNMENT00781405","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias fieldii","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/338207233-ff4f-4405-a0c1-a54fe064adb0"
"USNMENT   781404","USNMENT00781404","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias fieldii","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3c8440e6e-de65-41f0-9d0b-26696e334576"
"USNMENT   781337","USNMENT00781337","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias flaveola","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3332d1fea-c0f6-481c-97bc-9cc2c5006500"
"USNMENT   781338","USNMENT00781338","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias flaveola","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3965279e5-9cb4-41af-a008-985096f7c28e"
"USNMENT   781318","USNMENT00781318","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias harfordii","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31cbf7ec1-77be-42f9-bf53-b9ae13b005e4"
"USNMENT   781317","USNMENT00781317","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias harfordii","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e14044aa-eb0a-46d5-becf-dae738273dbc"
"USNMENT   781309","USNMENT00781309","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hecla","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3ccedcf37-bbd1-4f81-ae4f-0b034263dbb4"
"USNMENT   781310","USNMENT00781310","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hecla","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:21:00","http://n2t.net/ark:/65665/3897c37bf-ff45-4e4c-adb6-9e09d9d82a44"
"USNMENT   781363","USNMENT00781363","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hyale","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3fa832157-c3b2-4e2d-ac9a-0fc68891097e"
"USNMENT   781362","USNMENT00781362","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hyale","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3a8f61c20-1ade-4f59-9b74-efeb183096fe"
"USNMENT   781384","USNMENT00781384","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hyperborea","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3346944e7-bc91-477a-af9c-178cbd670bc9"
"USNMENT   781383","USNMENT00781383","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias hyperborea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3ba74209a-2322-45d0-8a0d-6c36f24bea28"
"USNMENT   781321","USNMENT00781321","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias interior","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:22:00","http://n2t.net/ark:/65665/318cbf038-dd41-4566-b02d-036e4bfe991c"
"USNMENT   781322","USNMENT00781322","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias interior","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/32d69bbf4-2c16-4904-a637-926c8eabfa4b"
"USNMENT   781346","USNMENT00781346","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias ladakensis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:22:00","http://n2t.net/ark:/65665/39ec8904d-a26f-466f-84e4-4c7132a41ec6"
"USNMENT   781345","USNMENT00781345","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias ladakensis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/322b5763e-4d45-4164-a3b8-8e44b0a1c843"
"USNMENT   781339","USNMENT00781339","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias lesbia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37a6c8fc8-d5a8-4b77-8039-a4dbbc58ad17"
"USNMENT   781340","USNMENT00781340","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias lesbia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3d9ac1cf0-19ee-49b0-bb47-c9d69a979f1a"
"USNMENT   781385","USNMENT00781385","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias marcopolo","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3b163a896-78e0-4210-b82e-486f33bf5db7"
"USNMENT   781312","USNMENT00781312","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias meadii","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/391ffeba6-4c5d-4db8-ab3e-82f812c7a86e"
"USNMENT   781311","USNMENT00781311","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias meadii","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a3846615-6204-47a5-8c3a-ea951b2b2b12"
"USNMENT   781354","USNMENT00781354","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias montium","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/38f564f18-b46c-4396-8365-120e637be0a5"
"USNMENT   781355","USNMENT00781355","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias montium","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:23:00","http://n2t.net/ark:/65665/39ec1336e-5fd1-4280-bff0-c13307341e5f"
"USNMENT   781397","USNMENT00781397","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias myrmidone","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:23:00","http://n2t.net/ark:/65665/357764541-2b62-4770-93fc-5993c4b24458"
"USNMENT   781396","USNMENT00781396","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias myrmidone","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/34a563b6f-553f-4750-9a66-222b5839cad1"
"USNMENT   781308","USNMENT00781308","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias nastes Boisduval, 1832","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:23:00","http://n2t.net/ark:/65665/35774d0d9-5de0-4998-9d3a-9a313a9c7fdb"
"USNMENT   781307","USNMENT00781307","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias nastes Boisduval, 1832","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3cf3c9cc4-d0ec-428a-8e9c-984652b44f14"
"USNMENT   781319","USNMENT00781319","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias occidentalis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:23:00","http://n2t.net/ark:/65665/32c7a003f-a03b-4301-abdc-a38e86566a93"
"USNMENT   781320","USNMENT00781320","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias occidentalis","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3aca029f2-1e64-4785-8207-4acba55a3c8b"
"USNMENT   781323","USNMENT00781323","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias palaeno","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:24:00","http://n2t.net/ark:/65665/31d628fdc-391f-448e-9296-c9f4360723f5"
"USNMENT   781324","USNMENT00781324","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias palaeno","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:24:00","http://n2t.net/ark:/65665/349af5cde-8421-474f-8f5b-276fd1b22260"
"USNMENT   781325","USNMENT00781325","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias pelidne","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e5925aff-2e5b-4ee9-9a8c-770beec24385"
"USNMENT   781326","USNMENT00781326","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias pelidne","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/357b51910-534b-488c-9d40-fb58ae8f732b"
"USNMENT   781358","USNMENT00781358","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias phicomene","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/33f27f5f5-0458-4bae-8cf9-21477adb7d24"
"USNMENT   781359","USNMENT00781359","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias phicomene","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:24:00","http://n2t.net/ark:/65665/3a39afe63-06a3-4a6f-9312-3dc37d4e372b"
"USNMENT   781041","USNMENT00781041","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias philodice","","Bulletin of the Brooklyn Entomological Society. 20 (5): 223.","Colias philodice inversata Nakahara, 1926","1 Adult Male","Pinned","","","United States","Pennsylvania","Allegheny","[Not Stated]","",40.4534,-80.0059,"","[Not Stated]","20 Aug 1893 (8/20/93)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.. Reviewed, Aug 2012, revised by Gerardo Lamas.","","","","","","","","22 Apr 2013 17:24:00","http://n2t.net/ark:/65665/39a9a7973-eb24-4d68-b4e1-37f1fc9c6d98"
"USNMENT   781076","USNMENT00781076","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias philodice","","Bulletin of the Brooklyn Entomological Society. 20 (5): 222.","Colias philodice f. plicaduta Nakahara, 1926","1 Adult Female","Pinned","","","United States","New York","Tompkins","Ithaca","",42.4406,-76.4966,"","Nakahara, W.","30 Jul 1923 (30 JULY '23)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.. Reviewed, Aug 2012, revised by Gerardo Lamas.","","","","","","","","22 Apr 2013 17:25:00","http://n2t.net/ark:/65665/3e575adc1-0e23-4206-953b-47eca517005f"
"USNMENT   781331","USNMENT00781331","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias philodice","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/310bc178d-64fd-4ff6-8119-7575bdf87ae8"
"USNMENT   781068","USNMENT00781068","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias philodice f. nigrofasciata Reiff, 1917","","Lepidopterist. 1 (3): 22.","Colias philodice","1 Adult Female","Pinned","","","United States","Massachusetts","[Not Stated]","[Not Stated]","","","","","Lewis","Aug 1916 (AUG. 1916)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.. Reviewed, Aug 2012, revised by Gerardo Lamas.","","","","","","","","22 Apr 2013 17:25:00","http://n2t.net/ark:/65665/3e2c1ed3a-cdfa-49d2-b729-9fd8601dcdfd"
"USNMENT   781332","USNMENT00781332","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias philodice f. nigrofasciata Reiff, 1917","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37c3c1e21-6107-4f8b-9147-00e792ada7c1"
"USNMENT   781392","USNMENT00781392","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias regia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/38ad80d87-305d-43cc-8336-390873bcb11b"
"USNMENT   781393","USNMENT00781393","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias regia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:25:00","http://n2t.net/ark:/65665/3b80db765-50d8-4999-8fa6-ef2b312273cd"
"USNMENT   781401","USNMENT00781401","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias romanovi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:25:00","http://n2t.net/ark:/65665/3cd429f46-74d3-45ae-818a-1e1612de740b"
"USNMENT   781400","USNMENT00781400","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias romanovi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3aecf6946-b6f9-481e-8651-dc53cc94cfc1"
"USNMENT   781089","USNMENT00781089","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias rossii Guenee, 1864","","Annales de la Société Entomologique de France. 4 (2): 199.","","1 Adult Male","Pinned","","","Canada","Northwest Territories","","Nunavut","",75.7007,-99.5361,"","[Not Stated]","",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.. Reviewed, Aug 2012, revised by Gerardo Lamas.","","","","","","","","22 Apr 2013 17:26:00","http://n2t.net/ark:/65665/31076427a-6d46-46d4-9f1d-d0e27efa9da9"
"USNMENT   781367","USNMENT00781367","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sagartia","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/334794792-d04b-47ac-8201-312a9b8ba385"
"USNMENT   781366","USNMENT00781366","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sagartia","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:25:00","http://n2t.net/ark:/65665/3da58e891-104d-4e34-a84f-60101b9d1273"
"USNMENT   781328","USNMENT00781328","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias scudderii","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37e2f0bf2-6325-4ff3-900f-e1665a23a616"
"USNMENT   781327","USNMENT00781327","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias scudderii","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:26:00","http://n2t.net/ark:/65665/3c32a825f-27d3-4055-9f18-cfcf6d99be02"
"USNMENT   781347","USNMENT00781347","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias shafuladi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3e7908454-9c4d-4a52-a9ee-a847c511decb"
"USNMENT   781352","USNMENT00781352","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sieversi","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a08619dd-1976-40af-b826-381d2cf0b79e"
"USNMENT   781353","USNMENT00781353","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sieversi","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3a38728e2-0524-46fa-b14a-ef511be6a171"
"USNMENT   781350","USNMENT00781350","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sifanica","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/384d6a899-5d14-4b5b-993c-15ec73347c67"
"USNMENT   781351","USNMENT00781351","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias sifanica","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3f64f1133-d81e-4aab-b6f4-786c32609fd1"
"USNMENT   781390","USNMENT00781390","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias staudingeri","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/387aa6a9f-56d7-4475-b119-93d07c76ee22"
"USNMENT   781391","USNMENT00781391","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias staudingeri","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:26:00","http://n2t.net/ark:/65665/329171b7e-c092-4440-a896-65a1d3e9b629"
"USNMENT   781380","USNMENT00781380","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias stoliczkana","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/37d3809f8-d1fe-42e9-8e0e-293175a53e86"
"USNMENT   781388","USNMENT00781388","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Colias thisoa","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 17:26:00","http://n2t.net/ark:/65665/307bdc860-3eb0-41b2-9bda-332ec42d7d9a"
