Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   802270","USNMENT00802270","Specimen Inventory","Insecta","Lepidoptera","Erebidae","Aganais speciosa (Drury, 1773)","","","","1 Adult Female","Pinned","","","South Africa","KwaZulu-Natal","Umgungundlovu","Pietermaritzburg, 151 Burger Street, ceiling of kitchen","",-29.6083,30.3783,"","Dikow, T.","29 Feb 2000",1,"","","","","","","","","23 Sep 2020 14:22:00","http://n2t.net/ark:/65665/3596a4a14-a3dc-4334-aca1-9f20cea653f5"
"USNMENT   658956","USNMENT00658956","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias aedon Hewitson, 1848","","","","1 adult female","pinned","","","Mexico","Chiapas","[Not Stated]","","","","","","Porion, T.","Oct 1987 (October, 1987)",1,"","","","","","","","","23 Mar 2020 19:48:00","http://n2t.net/ark:/65665/38b20c794-ce77-4e4f-b4d7-f3b872b96559"
"USNMENT   658973","USNMENT00658973","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias aedon Hewitson, 1848","","","","1 adult male","pinned","","","Brazil","Para","[Not Stated]","","","","","","[Not Stated]","Nov 1978 (November, 1978)",1,"","","","","","","","","06 Jan 2022 16:13:00","http://n2t.net/ark:/65665/3855ae6ba-1a4d-48e2-929e-7184c372e715"
"USNMENT   675416","USNMENT00675416","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias aedon Hewitson, 1848","","","","1 adult female","pinned","","","Brazil","[Not Stated]","[Not Stated]","","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","06 Jan 2022 16:29:00","http://n2t.net/ark:/65665/393bd4fcb-71c0-4ada-8982-206bac41ded1"
"USNMENT   675423","USNMENT00675423","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias aedon Hewitson, 1848","","","","1 adult female","pinned","","","Brazil","Amazonas","[Not Stated]","","","","","","[Not Stated]","9 Aug 1983 (9-Aug-83)",1,"","","","","","","","","06 Jan 2022 16:38:00","http://n2t.net/ark:/65665/3fa5e5eef-63df-4df3-8942-89bf35f2963e"
"USNMENT   675051","USNMENT00675051","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias amydon Hewitson, 1854","","","","1 adult male","pinned","","","Mexico","Chiapas","[Not Stated]","Rio Lacatum","","","","","[Not Stated]","15 Sep 1981 (15-Sep-81)",1,"","","","","","","","","08 Aug 2013 16:15:00","http://n2t.net/ark:/65665/3dba994f5-c8e0-4233-a2e6-0093c50298b3"
"USNMENT   675089","USNMENT00675089","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias amydon Hewitson, 1854","","","","1 adult female","pinned","","","Brazil","Matto Grosso","[Not Stated]","Diamondino, Alto Rio, Arinos","","","","","Furftado, E.","5 Apr 1993 (5-Apr-93)",1,"","","","","","","","","08 Aug 2013 16:16:00","http://n2t.net/ark:/65665/38c6a098b-309e-4bbd-8ec1-557f0241a7d3"
"USNMENT   675120","USNMENT00675120","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias amydon Hewitson, 1854","","","","1 adult male","pinned","","","[Not Stated]","[Not Stated]","[Not Stated]","[Not Stated]","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","08 Aug 2013 16:18:00","http://n2t.net/ark:/65665/3d9b903aa-9fc0-441c-a95d-9cdcd4d70c8d"
"USNMENT   675134","USNMENT00675134","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias amydon Hewitson, 1854","","","","1 adult female","pinned","","","Brazil","Para","[Not Stated]","Obidos","",-1.9,-55.52,"","[Not Stated]","Aug 1981 (August, 1981)",1,"","","","","","","","","20 Mar 2020 15:47:00","http://n2t.net/ark:/65665/3ac2b1133-bc13-47d5-91ad-93da3b3bdbc6"
"USNMENT   675243","USNMENT00675243","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias beata Staudinger, 1885","","","","1 adult male","pinned","","","Peru","Loreto","[Not Stated]","20 km. from Iquitos",200,"","","","[Not Stated]","(19-Jul)",1,"","","","","","","","","20 Mar 2020 15:48:00","http://n2t.net/ark:/65665/3954c0ded-9552-4fb3-a546-eb65e9076a93"
"USNMENT   675252","USNMENT00675252","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias beata Staudinger, 1885","","","","1 adult female","pinned","","","Brazil","Amazonas","[Not Stated]","Sao Paulo de Olivenca","","","","","[Not Stated]","29 Sep 1932 (29-Sep-32)",1,"","","","","","","","","20 Mar 2020 15:48:00","http://n2t.net/ark:/65665/37c18bd39-3e00-4ba6-ba53-4cf55ca7b8d1"
"USNMENT   675256","USNMENT00675256","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias beata Staudinger, 1885","","","","1 adult female","pinned","","","Brazil","Amazonas","[Not Stated]","Teffe","","","","","[Not Stated]","4 Mar 1925 (4-Mar-25)",1,"","","","","","","","","08 Aug 2013 16:23:00","http://n2t.net/ark:/65665/3304c6b5f-345d-424b-b197-2b62dc8d0183"
"USNMENT   675257","USNMENT00675257","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias beata Staudinger, 1885","","","","1 adult male","pinned","","","Brazil","Amazonas","[Not Stated]","Teffe","","","","","[Not Stated]","Feb 1925 (February, 1925)",1,"","","","","","","","","08 Aug 2013 16:25:00","http://n2t.net/ark:/65665/34e56227e-bb19-4a40-9daf-800c41c08cb8"
"USNMENT   675158","USNMENT00675158","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias phalcidon Hewitson, 1855","","","","1 adult male","pinned","","","Brazil","Para","[Not Stated]","","","","","","[Not Stated]","Aug 1989 (August, 1989)",1,"","","","","","","","","06 Jan 2022 16:34:00","http://n2t.net/ark:/65665/3e2260d1d-da8d-4399-900e-88039ee9b41c"
"USNMENT   675200","USNMENT00675200","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias phalcidon Hewitson, 1855","","","","1 adult male","pinned","","","Brazil","Amazonas","[Not Stated]","","","","","","[Not Stated]","29 Jul 1979 (29-Jul-79)",1,"","","","","","","","","06 Jan 2022 16:39:00","http://n2t.net/ark:/65665/3055e7678-7348-4de9-b994-a4496999a037"
"USNMENT   675219","USNMENT00675219","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias phalcidon Hewitson, 1855","","","","1 adult female","pinned","","","Brazil","Amazonas","[Not Stated]","","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","06 Jan 2022 16:31:00","http://n2t.net/ark:/65665/399df59d6-c18c-45b4-a51f-3a7b699b1e3c"
"USNMENT   675220","USNMENT00675220","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias phalcidon Hewitson, 1855","","","","1 adult male","pinned","","","Brazil","Amazonas","[Not Stated]","","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","06 Jan 2022 16:32:00","http://n2t.net/ark:/65665/305fa2bff-ba4e-4c2e-a9d3-2d4492ca8663"
"USNMENT   658643","USNMENT00658643","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias sardanapalus Bates, 1860","","","","1 adult male","pinned","","","Peru","Junin","[Not Stated]","Satipo",1000,"","","","Callegari, M.","Jul 1983 (July, 1983)",1,"","","","","","","","","20 Mar 2020 15:51:00","http://n2t.net/ark:/65665/3db15ff12-ecd8-4f7c-a59e-70fdff3d07d8"
"USNMENT   658709","USNMENT00658709","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias sardanapalus Bates, 1860","","","","1 adult male","pinned","","","Peru","[Not Stated]","[Not Stated]","Cusco","","","","","[Not Stated]","11 May 1981 (11-May-81)",1,"","","","","","","","","08 Aug 2013 16:33:00","http://n2t.net/ark:/65665/360c8dae1-3534-4cf1-b0fc-c09e43ae9da7"
"USNMENT   658764","USNMENT00658764","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias sardanapalus Bates, 1860","","","","1 adult female","pinned","","","Brazil","[Not Stated]","[Not Stated]","Brazil","","","","","[Not Stated]","([Not Stated])",1,"","","","","","","","","20 Mar 2020 15:51:00","http://n2t.net/ark:/65665/3c5ea6065-89e7-4cf6-a827-272d757a4399"
"USNMENT   658942","USNMENT00658942","Specimen Inventory","Insecta","Lepidoptera","Nymphalidae","Agrias sardanapalus Bates, 1860","","","","1 adult female","pinned","","","Brazil","Para","[Not Stated]","Obidos","",-1.9,-55.52,"","[Not Stated]","Sep 1971 (September, 1971)",1,"","","","","","","","","20 Mar 2020 15:51:00","http://n2t.net/ark:/65665/38df1b6e5-fd22-4b8e-9bc9-fd262245d902"
