 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,30.500,200.500,30.500,200.500,0,0.000,1,0.000,0.000,NaN
2,0,0,0,202.500,165.500,202.500,165.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,262.000,115.000,262.000,115.000,0,0.000,1,0.000,0.000,NaN
4,0,3,3,275.000,169.000,275.000,169.000,0,0.000,1,0.000,0.000,NaN
5,0,6,6,463.000,186.500,463.000,186.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,607.000,162.000,607.000,162.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,521.000,239.000,521.000,239.000,0,0.000,1,0.000,0.000,NaN
8,0,1,1,460.000,207.500,460.000,207.500,0,0.000,1,0.000,0.000,NaN
9,0,10,10,361.500,221.000,361.500,221.000,0,0.000,1,0.000,0.000,NaN
10,0,7,7,321.000,231.000,321.000,231.000,0,0.000,1,0.000,0.000,NaN
11,0,7,7,215.000,222.000,215.000,222.000,0,0.000,1,0.000,0.000,NaN
12,0,5,5,164.500,228.000,164.500,228.000,0,0.000,1,0.000,0.000,NaN
13,0,6,6,95.000,214.000,95.000,214.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,60.000,216.000,60.000,216.000,0,0.000,1,0.000,0.000,NaN
