"","x"
"96","Carcharhinus falciformis"
"97","Carcharhinus falciformis"
"98","Carcharhinus falciformis"
"99","Carcharhinus leucas"
"100","Carcharhinus leucas"
"101","Carcharhinus leucas"
"102","Carcharhinus leucas"
"103","Carcharhinus leucas"
"104","Carcharhinus leucas"
"105","Carcharhinus leucas"
"106","Carcharhinus limbatus"
"107","Carcharhinus limbatus"
"108","Carcharhinus limbatus"
"109","Carcharhinus limbatus"
"110","Carcharhinus limbatus"
"111","Carcharhinus limbatus"
"112","Carcharhinus limbatus"
"113","Carcharhinus limbatus"
"114","Carcharhinus limbatus"
"115","Carcharhinus limbatus"
"116","Carcharhinus limbatus"
"117","Carcharhinus melanopterus"
"118","Carcharhinus melanopterus"
"119","Carcharhinus melanopterus"
"120","Carcharhinus melanopterus"
"121","Carcharhinus melanopterus"
"122","Carcharhinus melanopterus"
"123","Carcharhinus melanopterus"
"124","Carcharhinus melanopterus"
"125","Carcharhinus plumbeus"
"126","Carcharhinus plumbeus"
"127","Carcharhinus plumbeus"
"128","Carcharhinus plumbeus"
"129","Carcharhinus plumbeus"
"130","Carcharhinus plumbeus"
"131","Carcharhinus plumbeus"
"132","Carcharhinus sorrah"
"133","Carcharhinus sorrah"
"134","Carcharhinus sorrah"
"135","Carcharhinus sorrah"
"136","Carcharhinus sorrah"
"137","Carcharhinus sorrah"
"138","Carcharhinus tilstoni"
"139","Carcharhinus tilstoni"
"140","Carcharhinus tilstoni"
"141","Carcharias taurus"
"142","Carcharias taurus"
"143","Carcharias taurus"
"144","Carcharias taurus"
"145","Carcharias taurus"
"146","Carcharias taurus"
"147","Carcharias taurus"
"148","Carcharias taurus"
"149","Carcharias taurus"
"150","Carcharias taurus"
"151","Carcharias taurus"
"152","Carcharodon carcharias"
"153","Carcharodon carcharias"
"154","Carcharodon carcharias"
"155","Carcharodon carcharias"
"156","Carcharodon carcharias"
"157","Carcharodon carcharias"
"158","Carcharodon carcharias"
"159","Carcharodon carcharias"
"160","Carcharodon carcharias"
"161","Carcharodon carcharias"
"162","Carcharodon carcharias"
"163","Carcharodon carcharias"
"164","Carcharodon carcharias"
"165","Carcharodon carcharias"
"166","Carcharodon carcharias"
"167","Centrophorus atromarginatus"
"168","Centrophorus granulosus"
"169","Centrophorus granulosus"
"170","Centrophorus granulosus"
"171","Centrophorus granulosus"
"172","Centrophorus granulosus"
"173","Centrophorus harrissoni"
"174","Centrophorus isodon"
"175","Centrophorus moluccensis"
"176","Centrophorus squamosus"
"177","Centrophorus squamosus"
"178","Centrophorus squamosus"
"179","Centrophorus zeehaani"
"180","Centrophorus zeehaani"
"181","Centroscyllium fabricii"
"182","Centroscyllium fabricii"
"183","Centroscyllium fabricii"
"184","Centroscyllium granulatum"
"185","Centroscyllium granulatum"
"186","Centroscyllium granulatum"
"187","Centroscyllium granulatum"
"188","Centroscyllium granulatum"
"189","Centroscyllium nigrum"
"190","Centroscyllium nigrum"
"191","Centroscyllium ritteri"
"192","Centroscymnus coelolepis"
"193","Centroscymnus coelolepis"
"194","Centroscymnus coelolepis"
"195","Centroscymnus owstonii"
