TOWN,WMU,MALE,FEMALE,TOTAL,KSM
NEWPORT,(H1/I2),57,17,74,1.71
NEWTON,(M),19,11,30,3.07
NORTH_HAMPTON,(M),50,37,87,6.28
NORTHFIELD,(I1/J2),58,24,82,2.87
NORTHUMBERLAND,(B/C1/D1),29,1,30,0.84
NORTHWOOD,(J2/L),45,25,70,2.49
NOTTINGHAM,(L),68,30,98,2.1
ODELL,(B),3,0,3,0.07
ORANGE,(G1/G2),7,1,8,0.35
ORFORD,(D2W/G1),50,33,83,1.78
OSSIPEE,(J1),79,8,87,1.24
PELHAM,(M),38,27,65,2.51
PEMBROKE,(L),26,31,57,2.54
PETERBOROUGH,(H2/K),47,14,61,1.62
PIERMONT,(D2W),41,13,54,1.4
PINKHAMS_GRANT,(E),1,0,1,0.26
PITTSBURG,(A),123,18,141,0.5
PITTSFIELD,(J2),59,19,78,3.29
PLAINFIELD,(H1),85,40,125,2.4
PLAISTOW,(M),11,16,27,2.55
PLYMOUTH,(F/G2),20,2,22,0.79
PORTSMOUTH,(M),35,13,48,3.07
RANDOLPH,(C1/E),8,2,10,0.21
RAYMOND,(L/M),37,26,63,2.19
RICHMOND,(H2),40,10,50,1.33
RINDGE,(H2/K),58,24,82,2.22
ROCHESTER,(J2/L),96,57,153,3.46
ROLLINSFORD,(L),29,20,49,6.7
ROXBURY,(H2),18,4,22,1.84
RUMNEY,(F/G1/G2),22,3,25,0.6
RYE,(M),44,48,92,7.35
SALEM,(M),34,17,51,2.06
SALISBURY,(I1),35,7,42,1.07
SANBORNTON,(I1/J2),34,18,52,1.1
SANDOWN,(M),13,8,21,1.51
SANDWICH,(F/J1),37,0,37,0.41
SEABROOK,(M),15,11,26,2.93
SECOND_COLL_GRANT,(A),5,0,5,0.12
SHARON,(K),12,6,18,1.15
SHELBURNE,(C2/E),13,0,13,0.27
SOMERSWORTH,(L),12,7,19,1.96
SOUTH_HAMPTON,(M),27,18,45,5.71
SPRINGFIELD,(G1/I2),31,8,39,0.9
STARK,(B/C1),17,2,19,0.32
STEWARTSTOWN,(A),28,10,38,0.82
STODDARD,(H2/I2),34,6,40,0.79
STRAFFORD,(J2),89,34,123,2.53
STRATFORD,(B),22,3,25,0.32
STRATHAM,(L/M),52,32,84,5.56
SUCCESS,(C2),5,0,5,0.09
SUGAR_HILL,(D1/D2W),13,2,15,0.88
SULLIVAN,(H2),24,1,25,1.35
SUNAPEE,(G1/I2),25,12,37,1.76
SURRY,(H2),22,2,24,1.55
SUTTON,(I1/I2),36,3,39,0.92
SWANZEY,(H2),72,27,99,2.22
TAMWORTH,(F/J1),31,7,38,0.64
TEMPLE,(K),36,10,46,2.08
THORNTON,(F),21,3,24,0.48
TILTON,(I1/J2),10,8,18,1.62
TROY,(H2),45,13,58,3.32
TUFTONBORO,(J1/J2),54,18,72,1.78
UNITY,(H1),42,20,62,1.68
WAKEFIELD,(J1/J2),66,19,85,2.15
WALPOLE,(H1/H2),38,17,55,1.56
WARNER,(I1/I2),35,7,42,0.77
WARREN,(D2E/D2W/F),21,1,22,0.45
WASHINGTON,(I2),34,5,39,0.86
WEARE,(K),83,33,116,2.06
WEBSTER,(I1),34,15,49,1.77
WENTWORTH,(D2W/F/G1),23,8,31,0.74
WENTWORTHS_LOCATION,(A/C2),5,0,5,0.27
WESTMORELAND,(H2),45,22,67,1.87
WHITEFIELD,(D1),16,2,18,0.53
WILMOT,(G1/I1),16,4,20,0.68
WILTON,(K),35,18,53,2.09
WINCHESTER,(H2),69,21,90,1.65
WINDHAM,(M),33,25,58,2.18
WINDSOR,(I2),3,1,4,0.49
WOLFEBORO,(J1/J2),44,15,59,1.23
WOODSTOCK,(D2E/F),9,1,10,0.17
