TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
LINCOLN,(D2E/E/F),3,0,3,0.02,2021
LISBON,(D2W),51,28,79,3.01,2021
LITCHFIELD,(M),21,13,34,2.29,2021
LITTLETON,(D1/D2W),47,19,66,1.32,2021
LIVERMORE,(E/F),1,0,1,0.02,2021
LONDONDERRY,(M),58,47,105,2.51,2021
LOUDON,(J2),83,55,138,3,2021
LYMAN,(D2W),47,27,74,2.6,2021
LYME,(G1),88,25,113,2.1,2021
LYNDEBOROUGH,(K),38,20,58,1.94,2021
MADBURY,(L),54,26,80,6.92,2021
MADISON,(F/J1),33,9,42,1.09,2021
MANCHESTER,(K/L/M),22,8,30,0.91,2021
MARLBOROUGH,(H2),41,5,46,2.25,2021
MARLOW,(H1/H2/I2),26,10,36,1.4,2021
MASON,(K),32,7,39,1.64,2021
MEREDITH,(I1/J2),44,20,64,1.6,2021
MERRIMACK,(M),54,60,114,3.53,2021
MIDDLETON,(J2),16,4,20,1.11,2021
MILAN,(B/C1/C2),19,2,21,0.33,2021
MILFORD,(K/M),26,24,50,1.98,2021
MILLSFIELD,(A/B),6,0,6,0.13,2021
MILTON,(J2),60,21,81,2.46,2021
MONROE,(D2W),41,19,60,2.68,2021
MONT_VERNON,(K),25,13,38,2.26,2021
MOULTONBORO,(J1/J2),50,27,77,1.29,2021
NASHUA,(M),21,6,27,0.88,2021
NELSON,(H2),19,8,27,1.23,2021
NEW_BOSTON,(K),86,42,128,3,2021
NEW_CASTLE,(M),0,1,1,1.27,2021
NEW_DURHAM,(J2),60,16,76,1.85,2021
NEW_HAMPTON,(G2/I1/J2),35,14,49,1.33,2021
NEW_IPSWICH,(K),41,14,55,1.69,2021
NEW_LONDON,(G1/I1/I2),19,4,23,1.04,2021
NEWBURY,(I2),22,4,26,0.73,2021
NEWFIELDS,(L),18,7,25,3.52,2021
NEWINGTON,(M),39,51,90,11.04,2021
NEWMARKET,(L),36,43,79,6.26,2021
NEWPORT,(H1/I2),57,17,74,1.71,2021
NEWTON,(M),19,11,30,3.07,2021
NORTH_HAMPTON,(M),50,37,87,6.28,2021
NORTHFIELD,(I1/J2),58,24,82,2.87,2021
NORTHUMBERLAND,(B/C1/D1),29,1,30,0.84,2021
NORTHWOOD,(J2/L),45,25,70,2.49,2021
NOTTINGHAM,(L),68,30,98,2.1,2021
ODELL,(B),3,0,3,0.07,2021
ORANGE,(G1/G2),7,1,8,0.35,2021
ORFORD,(D2W/G1),50,33,83,1.78,2021
OSSIPEE,(J1),79,8,87,1.24,2021
PELHAM,(M),38,27,65,2.51,2021
PEMBROKE,(L),26,31,57,2.54,2021
PETERBOROUGH,(H2/K),47,14,61,1.62,2021
PIERMONT,(D2W),41,13,54,1.4,2021
PINKHAMS_GRANT,(E),1,0,1,0.26,2021
PITTSBURG,(A),123,18,141,0.5,2021
PITTSFIELD,(J2),59,19,78,3.29,2021
PLAINFIELD,(H1),85,40,125,2.4,2021
PLAISTOW,(M),11,16,27,2.55,2021
PLYMOUTH,(F/G2),20,2,22,0.79,2021
PORTSMOUTH,(M),35,13,48,3.07,2021
RANDOLPH,(C1/E),8,2,10,0.21,2021
RAYMOND,(L/M),37,26,63,2.19,2021
RICHMOND,(H2),40,10,50,1.33,2021
RINDGE,(H2/K),58,24,82,2.22,2021
ROCHESTER,(J2/L),96,57,153,3.46,2021
ROLLINSFORD,(L),29,20,49,6.7,2021
ROXBURY,(H2),18,4,22,1.84,2021
RUMNEY,(F/G1/G2),22,3,25,0.6,2021
RYE,(M),44,48,92,7.35,2021
SALEM,(M),34,17,51,2.06,2021
SALISBURY,(I1),35,7,42,1.07,2021
SANBORNTON,(I1/J2),34,18,52,1.1,2021
SANDOWN,(M),13,8,21,1.51,2021
SANDWICH,(F/J1),37,0,37,0.41,2021
SEABROOK,(M),15,11,26,2.93,2021
