sp,depth,habitat,size,ref,depth_max
Haploblepharus edwardsii,0-130,benthic,60,NA,NA
Hemigaleus australiensis,12-170,benthic,110,fb,NA
Hemigaleus microstoma,12-167,benthic,91,NA,NA
Hemipristis elongata,1-30,benthic,240,NA,NA
Hemiscyllium ocellatum,0-50,benthic,107,fb,NA
Hemitriakis complicofasciata,0-50,benthic,81,fb,NA
Hemitriakis falcata,-150,benthic,77,fb,NA
Hemitriakis japanica,0-100,benthic,120,NA,NA
Hemitriakis leucoperiptera,10-75,benthic,82,NA,NA
Heptranchias perlo,27-1000,benthic,137,NA,NA
Heterodontus francisci,0-150,benthic,122,NA,NA
Heterodontus galeatus,0-93,benthic,152,NA,NA
Heterodontus mexicanus,0-20,benthic,70,NA,NA
Heterodontus portusjacksoni,0-172,benthic,165,NA,NA
Heterodontus zebra,0-50,benthic,122,NA,NA
Hexanchus griseus,0-1875,benthic,482,NA,NA
Holohalaelurus regani,-1075,benthic,69,NA,NA
Hypogaleus hyugaensis,0-48,benthic,96,NA,NA
Iago garricki,25-320,benthic,75,NA,NA
Iago omanensis,0-1000,benthic,58,NA,NA
Isistius brasiliensis,85-3500,pelagic,50,NA,NA
Isurus oxyrinchus,0-152,pelagic,394,NA,NA
Isurus paucus,0-200,pelagic,425,NA,NA
Lamiopsis temminckii,0-50,pelagic,168,NA,NA
Lamna ditropis,0-152,pelagic,305,NA,NA
Lamna nasus,0-366,pelagic,370,NA,NA
Loxodon macrorhinus,7-80,pelagic,91,NA,NA
Megachasma pelagios,5-600,pelagic,549,fb,NA
Mitsukurina owstoni,-550,benthic,335,NA,NA
Mustelus antarcticus,0-183,benthic,157,NA,NA
Mustelus asterias,0-100,benthic,140,NA,NA
Mustelus californicus,0-50,benthic,120,NA,NA
Mustelus canis,0-580,benthic,150,NA,NA
Mustelus henlei,0-200,benthic,95,NA,NA
Mustelus lenticulatus,0-220,benthic,137,NA,NA
Mustelus manazo,0-200,benthic,115,NA,NA
Mustelus mustelus,0-350,benthic,164,NA,NA
Mustelus punctulatus,0-200,benthic,95,NA,NA
Mustelus schmitti,60-195,benthic,74,NA,NA
Nasolamia velox,0-25,benthic,150,NA,NA
Nebrius ferrugineus,0-70,benthic,320,NA,NA
Negaprion acutidens,0-30,benthic,310,NA,NA
Negaprion brevirostris,0-92,benthic,340,NA,NA
Notorynchus cepedianus,0-40,benthic,290,NA,NA
Odontaspis noronhai,60-1000,pelagic,367,NA,NA
Odontaspis ferox,13-800,benthic,360,NA,NA
Orectolobus floridus,42-85,benthic,75,NA,NA
Orectolobus hutchinsi,0-106,benthic,149,fb,NA
Orectolobus japonicus,0-50,benthic,118,fb,NA
Orectolobus maculatus,0-110,benthic,320,NA,NA
Orectolobus parvimaculatus,9-135,benthic,89,NA,NA
Oxynotus bruniensis,46-500,benthic,72,NA,NA
Oxynotus centrina,60-660,benthic,150,NA,NA
Oxynotus paradoxus,265-720,benthic,118,NA,NA
Paragaleus pectoralis,0-100,benthic,138,NA,NA
Parascyllium collare,18-156,benthic,87,NA,NA
Parmaturus xaniurus,91-1251,benthic,55,NA,NA
Pliotrema warreni,0-430,benthic,136,NA,NA
Poroderma africanum,0-100,benthic,101,NA,NA
Poroderma pantherinum,0-256,benthic,84,NA,NA
Prionace glauca,0-152,pelagic,383,NA,NA
Pristiophorus cirratus,0-311,benthic,137,NA,NA
Pristiophorus japonicus,0-250,benthic,136,NA,NA
Pristiophorus nudipinnis,0-165,benthic,122,NA,NA
Proscyllium habereri,50-100,benthic,65,NA,NA
Proscymnodon plunketi,219-1550,benthic,170,NA,NA
Pseudocarcharias kamoharai,0-590,pelagic,122,NA,NA
Pseudoginglymostoma brevicaudatum,0-50,benthic,75,NA,NA
Pseudotriakis microdon,200-1500,benthic,295,NA,NA
Rhincodon typus,0-50,pelagic,1800,NA,NA
Rhizoprionodon acutus,0-200,benthic,178,NA,NA
Rhizoprionodon lalandii,3-70,benthic,77,NA,NA
Rhizoprionodon longurio,0-30,benthic,110,NA,NA
Rhizoprionodon oligolinx,0-200,benthic,70,NA,NA
Rhizoprionodon porosus,0-500,benthic,110,NA,NA
Rhizoprionodon taylori,0-50,benthic,67,NA,NA
Rhizoprionodon terraenovae,10-280,benthic,110,NA,NA
Schroederichthys bivius,14-78,benthic,70,NA,NA
Scoliodon laticaudus,0-100,benthic,74,NA,NA
Scoliodon macrorhynchos,NA,NA,43,fb,NA
Scyliorhinus canicula,0-400,benthic,100,NA,NA
Scyliorhinus capensis,26-420,benthic,122,NA,NA
Scyliorhinus retifer,73-550,benthic,47,NA,NA
Scyliorhinus stellaris,0-125,benthic,163,NA,NA
Scyliorhinus torazame,0-100,benthic,48,NA,NA
Scylliogaleus quecketti,16-211,benthic,87,NA,NA
Scymnodon ringens,200-1600,benthic,110,NA,NA
Somniosus antarcticus,485-1150,benthic,438,fb,NA
Somniosus microcephalus,0-1200,benthic,640,NA,NA
Somniosus pacificus,0-2000,benthic,430,NA,NA
Somniosus rostratus,200-1000,benthic,140,NA,NA
Sphyrna corona,0-100,benthic,92,NA,NA
Sphyrna lewini,0-275,pelagic,313,NA,NA
Sphyrna media,NA,benthic,150,NA,NA
Sphyrna mokarran,0-80,pelagic,550,NA,NA
Sphyrna tiburo,0-80,benthic,150,NA,NA
Sphyrna tudes,0-12,benthic,150,NA,NA
Sphyrna zygaena,0-20,pelagic,400,NA,NA
Squaliolus aliae,200-2000,pelagic,22,fb,NA
Squaliolus laticaudus,200-500,pelagic,25,NA,NA
Squalus acanthias,0-900,benthic,160,NA,NA
Squalus brevirostris,-130,benthic,60,fb,NA
Squalus chloroculus,213-1360,benthic,80,fb,NA
Squalus cubensis,60-380,benthic,110,NA,NA
Squalus grahami,148-504,benthic,60,fb,NA
Squalus japonicus,150-300,benthic,91,NA,NA
Squalus megalops,50-732,benthic,71,NA,NA
Squalus mitsukurii,165-518,benthic,110,NA,NA
Squalus montalbani,154-1370,benthic,84,fb,NA
Stegostoma fasciatum,0-50,benthic,354,NA,NA
Sutorectus tentaculatus,0-50,benthic,92,NA,NA
Triaenodon obesus,0-330,benthic,213,NA,NA
Triakis megalopterus,16-211,benthic,87,NA,NA
Triakis semifasciata,0-91,benthic,180,NA,NA
Trigonognathus kabeyai,330-360,benthic,54,NA,NA
Zameus squamulosus,0-2200,benthic,84,fb,NA
