sp,depth,habitat
Aculeola nigra,NA,NA
Alopias pelagicus,NA,NA
Alopias superciliosus,NA,NA
Alopias vulpinus,NA,NA
Apristurus brunneus,NA,NA
Apristurus laurussonii,NA,NA
Apristurus macrorhynchus,NA,NA
Apristurus manis,NA,NA
Apristurus melanoasper,NA,NA
Apristurus platyrhynchus,NA,NA
Apristurus profundorum,NA,NA
Apristurus sinensis,NA,NA
Atelomycterus baliensis,NA,NA
Atelomycterus fasciatus,NA,NA
Atelomycterus marnkalha,NA,NA
Atelomycterus marmoratus,NA,NA
Aulohalaelurus labiosus,NA,NA
Brachaelurus waddi,NA,NA
Carcharhinus albimarginatus,NA,NA
Carcharhinus amblyrhynchos,NA,NA
Carcharhinus brachyurus,NA,NA
Carcharodon carcharias,NA,NA
Carcharhinus falciformis,NA,NA
Carcharhinus leucas,NA,NA
Carcharhinus limbatus,NA,NA
Carcharhinus melanopterus,NA,NA
Carcharhinus plumbeus,NA,NA
Carcharhinus sorrah,NA,NA
Carcharias taurus,NA,NA
Carcharhinus tilstoni,NA,NA
Centrophorus atromarginatus,NA,NA
Centroscymnus coelolepis,NA,NA
Centroselachus crepidater,NA,NA
Centroscyllium fabricii,NA,NA
Centrophorus granulosus,NA,NA
Centroscyllium granulatum,NA,NA
Centrophorus harrissoni,NA,NA
Cephaloscyllium hiscosellum,NA,NA
Centrophorus isodon,NA,NA
Cephaloscyllium laticeps,NA,NA
Cetorhinus maximus,NA,NA
Centroscyllium nigrum,NA,NA
Centroscymnus owstonii,NA,NA
Centroscyllium ritteri,NA,NA
Cephaloscyllium silasi,NA,NA
Centrophorus squamosus,NA,NA
Cephaloscyllium variegatum,NA,NA
Cephaloscyllium ventriosum,NA,NA
Chlamydoselachus anguineus,NA,NA
Chiloscyllium griseum,NA,NA
Chiloscyllium hasseltii,NA,NA
Chiloscyllium indicum,NA,NA
Chaenogaleus macrostoma,NA,NA
Chiloscyllium plagiosum,NA,NA
Chiloscyllium punctatum,NA,NA
Cirrhigaleus barbifer,NA,NA
Dalatias licha,NA,NA
Deania hystricosa,NA,NA
Deania profundorum,NA,NA
Deania quadrispinosa,NA,NA
Echinorhinus brucus,NA,NA
Echinorhinus cookei,NA,NA
Etmopterus brachyurus,NA,NA
Etmopterus granulosus,NA,NA
Etmopterus molleri,NA,NA
Etmopterus polli,NA,NA
Etmopterus princeps,NA,NA
Etmopterus schultzi,NA,NA
Etmopterus spinax,NA,NA
Etmopterus unicolor,NA,NA
Euprotomicrus bispinatus,NA,NA
Eusphyra blochii,NA,NA
Eucrossorhinus dasypogon,NA,NA
Furgaleus macki,NA,NA
Figaro boardmani,NA,NA
Galeocerdo cuvier,NA,NA
Galeus eastmani,NA,NA
Galeus melastomus,NA,NA
Galeus murinus,NA,NA
Galeus polli,NA,NA
Galeus sauteri,NA,NA
Ginglymostoma cirratum,NA,NA
Glyphis gangeticus,NA,NA
Glyphis glyphis,NA,NA
Bythaelurus canescens,NA,NA
Bythaelurus dawsoni,NA,NA
Brachaelurus colcloughi,NA,NA
Cirrhigaleus asper,NA,NA
