X,Y,point_n
353.412,221.502,213
352.593,219.961,214
351.584,218.473,215
350.413,217.085,216
349.105,215.843,217
347.686,214.792,218
346.186,213.966,219
344.636,213.371,220
343.068,213.01,221
341.516,212.884,222
340.011,212.998,223
338.578,213.326,224
337.212,213.732,225
335.897,214.049,226
334.62,214.113,227
333.366,213.763,228
332.128,212.969,229
330.901,211.828,230
329.683,210.441,231
328.47,208.909,232
327.26,207.335,233
326.051,205.81,234
324.845,204.361,235
323.647,202.98,236
322.464,201.66,237
321.301,200.393,238
320.163,199.174,239
319.051,197.992,240
317.941,196.826,241
316.796,195.652,242
315.581,194.442,243
314.259,193.171,244
312.797,191.814,245
311.186,190.387,246
309.499,189.022,247
307.822,187.87,248
306.238,187.08,249
304.834,186.805,250
303.694,187.193,251
302.859,188.291,252
302.294,189.974,253
301.958,192.095,254
301.811,194.512,255
301.81,197.079,256
301.914,199.652,257
302.083,202.09,258
302.292,204.337,259
302.539,206.434,260
302.821,208.427,261
303.136,210.361,262
303.48,212.281,263
303.851,214.235,264
304.248,216.263,265
304.674,218.368,266
305.139,220.517,267
305.652,222.68,268
306.223,224.826,269
306.86,226.923,270
307.573,228.939,271
308.369,230.845,272
309.186,232.619,273
309.885,234.255,274
310.32,235.744,275
310.348,237.08,276
309.825,238.254,277
308.686,239.269,278
307.027,240.14,279
304.965,240.887,280
302.616,241.527,281
300.096,242.08,282
297.521,242.564,283
295.008,242.999,284
292.647,243.398,285
290.428,243.764,286
288.313,244.092,287
286.266,244.382,288
284.251,244.63,289
282.229,244.833,290
280.164,244.99,291
278.027,245.099,292
275.822,245.178,293
273.565,245.246,294
271.271,245.324,295
268.958,245.433,296
266.64,245.593,297
264.334,245.824,298
262.055,246.146,299
259.807,246.557,300
257.578,247.023,301
255.359,247.51,302
253.135,247.983,303
250.897,248.409,304
248.631,248.752,305
246.327,248.979,306
243.975,249.06,307
241.591,248.992,308
239.195,248.784,309
236.809,248.444,310
234.456,247.98,311
232.158,247.4,312
229.936,246.712,313
227.812,245.925,314
225.801,245.048,315
223.896,244.094,316
222.083,243.076,317
220.35,242.009,318
218.687,240.906,319
217.08,239.781,320
215.517,238.646,321
213.984,237.514,322
212.46,236.388,323
210.927,235.273,324
209.365,234.175,325
207.754,233.097,326
206.073,232.044,327
204.314,231.021,328
202.507,230.029,329
200.697,229.07,330
198.928,228.144,331
197.244,227.253,332
195.689,226.398,333
194.303,225.579,334
193.069,224.785,335
191.908,223.994,336
190.743,223.182,337
189.492,222.327,338
188.084,221.407,339
186.514,220.42,340
184.829,219.379,341
183.077,218.296,342
181.305,217.184,343
179.56,216.056,344
177.889,214.923,345
176.32,213.8,346
174.812,212.709,347
173.308,211.671,348
171.754,210.708,349
170.095,209.842,350
168.276,209.095,351
166.256,208.492,352
164.086,208.068,353
161.85,207.864,354
159.632,207.921,355
157.517,208.277,356
155.59,208.976,357
153.935,210.056,358
152.611,211.54,359
151.589,213.393,360
150.82,215.561,361
150.255,217.994,362
149.845,220.642,363
149.541,223.452,364
149.294,226.374,365
149.055,229.358,366
148.781,232.353,367
148.478,235.334,368
148.174,238.282,369
147.896,241.179,370
147.672,244.008,371
147.53,246.751,372
147.498,249.391,373
147.605,251.91,374
147.877,254.289,375
148.34,256.515,376
148.983,258.595,377
149.774,260.554,378
150.683,262.417,379
151.677,264.207,380
152.724,265.949,381
153.793,267.668,382
154.846,269.381,383
155.804,271.061,384
156.57,272.66,385
157.046,274.13,386
157.135,275.424,387
156.743,276.495,388
155.861,277.336,389
154.567,277.983,390
152.941,278.473,391
151.065,278.841,392
149.02,279.125,393
146.855,279.348,394
144.587,279.521,395
142.229,279.653,396
139.796,279.753,397
137.303,279.833,398
134.764,279.901,399
132.194,279.967,400
129.608,280.041,401
127.019,280.121,402
124.444,280.196,403
121.898,280.255,404
119.396,280.286,405
116.954,280.279,406
114.586,280.222,407
112.308,280.104,408
