year,county,race,mean_age,per_cite
2007,Worcester,white,30.2,0.6
2008,Hampden,white,38.63636363636363,0.6470588235294118
2008,Norfolk,white,28.434782608695652,0.6052631578947368
2008,Plymouth,white,35,0.5
2008,Suffolk,black,37.333333333333336,0.5714285714285714
2008,Suffolk,white,38.04081632653062,0.6712328767123288
2008,Worcester,white,35.15151515151515,0.4794520547945205
2009,Barnstable,white,36.592592592592595,0.44
2009,Berkshire,white,34.75609756097561,0.5125
2009,Bristol,black,31.183673469387756,0.6447368421052632
2009,Bristol,hispanic,28.369565217391305,0.6865671641791045
2009,Bristol,white,31.52380952380953,0.6548856548856549
2009,Essex,asian/pacific islander,33.76190476190476,0.875
2009,Essex,black,32.6875,0.64
2009,Essex,hispanic,28.575757575757574,0.7333333333333333
2009,Essex,white,36.409375,0.7174887892376681
2009,Franklin,white,35.40909090909091,0.4888888888888889
2009,Hampden,asian/pacific islander,30.0625,0.7272727272727273
2009,Hampden,black,33.095238095238095,0.6774193548387096
2009,Hampden,hispanic,31.38095238095238,0.6
2009,Hampden,white,34.22222222222222,0.5716612377850163
2009,Hampshire,white,35.89473684210526,0.4148936170212766
2009,Middlesex,asian/pacific islander,39.833333333333336,0.7551020408163265
2009,Middlesex,black,32.986842105263165,0.7037037037037037
2009,Middlesex,hispanic,32.42424242424242,0.7040816326530612
2009,Middlesex,white,37.10070671378092,0.7629139072847683
2009,Norfolk,asian/pacific islander,35.733333333333334,0.7894736842105263
2009,Norfolk,black,34.294117647058826,0.918918918918919
2009,Norfolk,white,36.4037558685446,0.6136363636363636
2009,Plymouth,black,28.633333333333333,0.4225352112676056
2009,Plymouth,hispanic,29,0.7142857142857143
2009,Plymouth,white,34.04117647058823,0.580327868852459
2009,Suffolk,asian/pacific islander,36.25,0.625
2009,Suffolk,black,37.189655172413794,0.6382978723404256
2009,Suffolk,hispanic,30.56756756756757,0.59375
2009,Suffolk,white,39.16487455197133,0.7136038186157518
2009,Worcester,asian/pacific islander,32.63461538461539,0.6235294117647059
2009,Worcester,black,33.41304347826087,0.5849056603773585
2009,Worcester,hispanic,32.36184210526316,0.7264150943396226
2009,Worcester,white,35.03205791106514,0.632495164410058
2010,Barnstable,asian/pacific islander,36.44444444444444,0.4967741935483871
2010,Barnstable,black,34.904153354632584,0.4962292609351433
2010,Barnstable,hispanic,33.07272727272728,0.536697247706422
2010,Barnstable,white,36.82067887449755,0.4228301550525753
2010,Berkshire,asian/pacific islander,36.940740740740736,0.7311827956989247
2010,Berkshire,black,36.30833333333333,0.6602739726027397
2010,Berkshire,hispanic,34.767634854771785,0.5916870415647921
2010,Berkshire,white,37.77332931968691,0.5108479755538579
2010,Bristol,asian/pacific islander,32.69186046511627,0.725
2010,Bristol,black,31.750814332247558,0.6756265891754449
2010,Bristol,hispanic,31.272932330827064,0.6726817042606517
2010,Bristol,white,33.63606817281014,0.6674173780966847
2010,Dukes,white,34.730496453900706,0.33569739952718675
2010,Essex,asian/pacific islander,33.42540620384047,0.7804597701149425
2010,Essex,black,32.52469711090401,0.7283783783783784
2010,Essex,hispanic,30.660525284202265,0.7281774239408587
2010,Essex,white,35.42641157924908,0.7193953369203177
2010,Franklin,asian/pacific islander,35.385474860335194,0.6026936026936027
2010,Franklin,black,34.4331983805668,0.5585585585585585
2010,Franklin,hispanic,31.35271317829457,0.5863636363636363
2010,Franklin,white,36.39824682021312,0.5425055928411633
2010,Hampden,asian/pacific islander,34.54579673776662,0.7707930367504836
2010,Hampden,black,33.36475735879077,0.6774798927613941
2010,Hampden,hispanic,31.121531758770914,0.674325366229761
2010,Hampden,white,36.4659761037896,0.7095300261096605
2010,Hampshire,asian/pacific islander,33.50526315789473,0.4260089686098655
2010,Hampshire,black,31.205000000000002,0.4291845493562232
2010,Hampshire,hispanic,30.453488372093027,0.4649910233393178
2010,Hampshire,white,33.93128999663186,0.34593023255813954
2010,Middlesex,asian/pacific islander,35.159295093296485,0.8119679519278918
2010,Middlesex,black,34.37416870843542,0.76110331930808794
2010,Middlesex,hispanic,32.5025579295817,0.7796463993100474
2010,Middlesex,white,36.65250465938913,0.7653198406296595
2010,Nantucket,black,36.458333333333336,0.39344262295081966
2010,Nantucket,hispanic,34.58,0.43103448275862066
2010,Nantucket,white,37.312775330396484,0.3924268502581756
2010,Norfolk,asian/pacific islander,35.82994304312449,0.6777717094483888
2010,Norfolk,black,34.229197439684896,0.719152691968226
2010,Norfolk,hispanic,32.64937871420854,0.7030896759608138
2010,Norfolk,white,36.72267749655524,0.6571897724607084
2010,Plymouth,asian/pacific islander,34.17647058823529,0.587467362924282
2010,Plymouth,black,31.94706308919507,0.49859451862262827
2010,Plymouth,hispanic,32.29505813953488,0.5443234836702955
2010,Plymouth,white,34.94459365363574,0.5409912961901288
2010,Suffolk,asian/pacific islander,35.21952010376134,0.6994535519125683
2010,Suffolk,black,35.30316455696203,0.6759146341463415
2010,Suffolk,hispanic,33.47599637681159,0.705409029950827
2010,Suffolk,white,38.131286235774134,0.6681914232442511
2010,Worcester,asian/pacific islander,34.39781787662609,0.7509398496240601
2010,Worcester,black,33.711326338444984,0.6774602026049205
2010,Worcester,hispanic,32.40488097619524,0.7058492688413949
2010,Worcester,white,35.35930394553525,0.6706027402017817
2011,Barnstable,asian/pacific islander,35.9811320754717,0.49572649572649574
2011,Barnstable,black,34.263999999999996,0.5009487666034156
2011,Barnstable,hispanic,35.33333333333333,0.4627659574468085
2011,Barnstable,white,37.39377334993772,0.44316154088380394
2011,Berkshire,asian/pacific islander,36.824884792626726,0.7586206896551724
2011,Berkshire,black,36.571856287425156,0.6575342465753424
2011,Berkshire,hispanic,33.360975609756096,0.6879194630872483
2011,Berkshire,white,38.06036131774708,0.510475161987041
2011,Bristol,asian/pacific islander,33.249146757679185,0.7160194174757282
2011,Bristol,black,32.092760180995484,0.6560196560196561
2011,Bristol,hispanic,31.76899383983573,0.626269035532995
2011,Bristol,white,34.61351242173298,0.6444014198128428
2011,Dukes,black,43.53846153846154,0.5909090909090909
2011,Dukes,white,38.32484076433121,0.4
2011,Essex,asian/pacific islander,35.3610108303249,0.6976160602258469
2011,Essex,black,33.66594594594595,0.6828550404709345
2011,Essex,hispanic,30.45967342899555,0.6352279825109307
2011,Essex,white,36.12508445945946,0.6725024001807195
2011,Franklin,asian/pacific islander,34.36571428571428,0.6984126984126984
2011,Franklin,black,35.268867924528294,0.5808219178082191
2011,Franklin,hispanic,32.79120879120879,0.65625
