 ,Area,Mean,Min,Max,X,Y
1,0,3,3,3,39.000,209.000
2,0,13,13,13,307.500,202.500
3,0,15,15,15,353.500,243.500
4,0,2,2,2,343.500,200.500
5,0,8,8,8,544.500,208.500
6,0,2,2,2,602.500,218.500
7,0,13,13,13,568.500,192.500
8,0,1,1,1,543.500,194.500
9,0,13,13,13,387.500,186.500
10,0,10,10,10,365.500,183.500
11,0,1,1,1,282.500,180.500
12,0,15,15,15,251.500,179.500
13,0,13,13,13,170.500,189.500
14,0,9,9,9,43.500,204.500
