 ,Area,Mean,Min,Max,X,Y,Ch
1,0,248,248,248,45.000,158.000,1
2,0,88,88,88,311.500,119.500,1
3,0,232,232,232,363.500,99.500,1
4,0,72,72,72,349.500,128.500,1
5,0,176,176,176,479.500,128.500,1
6,0,248,248,248,602.500,111.500,1
7,0,248,248,248,520.500,167.500,1
8,0,248,248,248,465.500,149.500,1
9,0,200,200,200,431.500,150.500,1
10,0,248,248,248,386.500,157.500,1
11,0,248,248,248,191.500,168.500,1
12,0,248,248,248,141.500,173.500,1
13,0,72,72,72,86.500,166.500,1
14,0,32,32,32,64.500,169.500,1
