 ,Area,Mean,Min,Max,X,Y
1,0,15,15,15,43.500,195.500
2,0,6,6,6,291.500,169.500
3,0,9,9,9,343.500,146.500
4,0,11,11,11,340.500,174.500
5,0,12,12,12,488.500,186.500
6,0,15,15,15,602.500,184.500
7,0,15,15,15,533.500,220.500
8,0,15,15,15,488.500,207.500
9,0,15,15,15,410.500,206.500
10,0,12,12,12,360.500,210.500
11,0,15,15,15,165.500,214.500
12,0,5,5,5,131.500,219.500
13,0,7,7,7,83.500,206.500
14,0,5,5,5,65.500,206.500
15,0,15,15,15,43.500,195.500
16,0,6,6,6,291.500,169.500
17,0,9,9,9,343.500,146.500
18,0,11,11,11,340.500,174.500
19,0,12,12,12,488.500,186.500
20,0,15,15,15,602.500,184.500
21,0,15,15,15,533.500,220.500
22,0,15,15,15,488.500,207.500
23,0,15,15,15,410.500,206.500
24,0,12,12,12,360.500,210.500
25,0,15,15,15,165.500,214.500
26,0,5,5,5,131.500,219.500
27,0,7,7,7,83.500,206.500
28,0,5,5,5,65.500,206.500
