 ,Area,Mean,Min,Max,X,Y
1,0,15,15,15,51.000,227.000
2,0,8,8,8,182.500,183.500
3,0,5,5,5,259.500,93.500
4,0,1,1,1,253.500,181.500
5,0,10,10,10,431.500,204.500
6,0,15,15,15,605.500,152.500
7,0,12,12,12,485.500,276.500
8,0,0,0,0,427.500,236.500
9,0,15,15,15,307.500,241.500
10,0,2,2,2,284.500,249.500
11,0,15,15,15,203.500,248.500
12,0,10,10,10,150.500,246.500
13,0,15,15,15,89.500,235.500
14,0,15,15,15,75.500,237.500
15,0,15,15,15,51.000,227.000
16,0,8,8,8,182.500,183.500
17,0,5,5,5,259.500,93.500
18,0,1,1,1,253.500,181.500
19,0,10,10,10,431.500,204.500
20,0,15,15,15,605.500,152.500
21,0,12,12,12,485.500,276.500
22,0,0,0,0,427.500,236.500
23,0,15,15,15,307.500,241.500
24,0,2,2,2,284.500,249.500
25,0,15,15,15,203.500,248.500
26,0,10,10,10,150.500,246.500
27,0,15,15,15,89.500,235.500
28,0,15,15,15,75.500,237.500
