 ,Area,Mean,Min,Max,X,Y
1,0,10,10,10,43.000,222.000
2,0,15,15,15,204.500,175.500
3,0,10,10,10,250.500,95.500
4,0,10,10,10,274.500,172.500
5,0,15,15,15,436.500,210.500
6,0,10,10,10,591.500,171.500
7,0,10,10,10,474.500,271.500
8,0,15,15,15,432.500,237.500
9,0,2,2,2,309.500,241.500
10,0,7,7,7,277.500,248.500
11,0,15,15,15,225.500,251.500
12,0,3,3,3,163.500,243.500
13,0,15,15,15,108.500,228.500
14,0,15,15,15,87.500,232.500
15,0,10,10,10,43.000,222.000
16,0,15,15,15,204.500,175.500
17,0,10,10,10,250.500,95.500
18,0,10,10,10,274.500,172.500
19,0,15,15,15,436.500,210.500
20,0,10,10,10,591.500,171.500
21,0,10,10,10,474.500,271.500
22,0,15,15,15,432.500,237.500
23,0,2,2,2,309.500,241.500
24,0,7,7,7,277.500,248.500
25,0,15,15,15,225.500,251.500
26,0,3,3,3,163.500,243.500
27,0,15,15,15,108.500,228.500
28,0,15,15,15,87.500,232.500
