 ,Area,Mean,Min,Max,X,Y
1,0,15,15,15,47.000,199.000
2,0,12,12,12,275.500,158.500
3,0,15,15,15,343.500,115.500
4,0,6,6,6,320.500,171.500
5,0,15,15,15,433.500,176.500
6,0,15,15,15,588.500,149.500
7,0,6,6,6,467.500,216.500
8,0,9,9,9,429.500,201.500
9,0,5,5,5,318.500,219.500
10,0,15,15,15,280.500,223.500
11,0,5,5,5,201.500,221.500
12,0,15,15,15,160.500,229.500
13,0,15,15,15,72.500,207.500
14,0,1,1,1,59.500,208.500
15,0,15,15,15,47.000,199.000
16,0,12,12,12,275.500,158.500
17,0,15,15,15,343.500,115.500
18,0,6,6,6,320.500,171.500
19,0,15,15,15,433.500,176.500
20,0,15,15,15,588.500,149.500
21,0,6,6,6,467.500,216.500
22,0,9,9,9,429.500,201.500
23,0,5,5,5,318.500,219.500
24,0,15,15,15,280.500,223.500
25,0,5,5,5,201.500,221.500
26,0,15,15,15,160.500,229.500
27,0,15,15,15,72.500,207.500
28,0,1,1,1,59.500,208.500
