 ,Area,Mean,Min,Max,X,Y
1,0,14,14,14,48.000,198.000
2,0,15,15,15,309.500,163.500
3,0,15,15,15,348.500,141.500
4,0,10,10,10,333.500,169.500
5,0,11,11,11,472.500,177.500
6,0,15,15,15,604.500,154.500
7,0,15,15,15,486.500,225.500
8,0,15,15,15,435.500,203.500
9,0,15,15,15,325.500,213.500
10,0,15,15,15,270.500,219.500
11,0,7,7,7,214.500,215.500
12,0,14,14,14,180.500,224.500
13,0,15,15,15,113.500,208.500
14,0,15,15,15,96.500,210.500
15,0,14,14,14,48.000,198.000
16,0,15,15,15,309.500,163.500
17,0,15,15,15,348.500,141.500
18,0,10,10,10,333.500,169.500
19,0,11,11,11,472.500,177.500
20,0,15,15,15,604.500,154.500
21,0,15,15,15,486.500,225.500
22,0,15,15,15,435.500,203.500
23,0,15,15,15,325.500,213.500
24,0,15,15,15,270.500,219.500
25,0,7,7,7,214.500,215.500
26,0,14,14,14,180.500,224.500
27,0,15,15,15,113.500,208.500
28,0,15,15,15,96.500,210.500
