 ,Area,Mean,Min,Max,X,Y
1,0,15,15,15,46.000,189.000
2,0,12,12,12,240.500,141.500
3,0,3,3,3,287.500,104.500
4,0,4,4,4,311.500,143.500
5,0,12,12,12,515.500,178.500
6,0,12,12,12,604.500,146.500
7,0,15,15,15,565.500,217.500
8,0,12,12,12,517.500,196.500
9,0,15,15,15,389.500,200.500
10,0,15,15,15,366.500,215.500
11,0,7,7,7,214.500,205.500
12,0,4,4,4,152.500,206.500
13,0,15,15,15,92.500,200.500
14,0,15,15,15,81.500,199.500
15,0,15,15,15,46.000,189.000
16,0,12,12,12,240.500,141.500
17,0,3,3,3,287.500,104.500
18,0,4,4,4,311.500,143.500
19,0,12,12,12,515.500,178.500
20,0,12,12,12,604.500,146.500
21,0,15,15,15,565.500,217.500
22,0,12,12,12,517.500,196.500
23,0,15,15,15,389.500,200.500
24,0,15,15,15,366.500,215.500
25,0,7,7,7,214.500,205.500
26,0,4,4,4,152.500,206.500
27,0,15,15,15,92.500,200.500
28,0,15,15,15,81.500,199.500
