 ,Area,Mean,Min,Max,X,Y,Ch
1,0,248,248,248,31.830,173.026,1
2,0,112,112,112,310.923,140.696,1
3,0,24,24,24,353.809,103.088,1
4,0,8,8,8,360.407,145.314,1
5,0,168,168,168,479.170,152.572,1
6,0,80,80,80,609.809,128.820,1
7,0,168,168,168,527.995,198.758,1
8,0,8,8,8,465.974,173.026,1
9,0,8,8,8,349.191,181.603,1
10,0,248,248,248,287.170,186.881,1
11,0,8,8,8,176.985,201.397,1
12,0,128,128,128,130.799,199.418,1
13,0,80,80,80,66.799,181.603,1
14,0,216,216,216,55.582,183.582,1
15,0,248,248,248,31.830,173.026,1
16,0,112,112,112,310.923,140.696,1
17,0,24,24,24,353.809,103.088,1
18,0,8,8,8,360.407,145.314,1
19,0,168,168,168,479.170,152.572,1
20,0,80,80,80,609.809,128.820,1
21,0,168,168,168,527.995,198.758,1
22,0,8,8,8,465.974,173.026,1
23,0,8,8,8,349.191,181.603,1
24,0,248,248,248,287.170,186.881,1
25,0,8,8,8,176.985,201.397,1
26,0,128,128,128,130.799,199.418,1
27,0,80,80,80,66.799,181.603,1
28,0,216,216,216,55.582,183.582,1
