 ,Area,Mean,Min,Max,X,Y,Ch
1,0,248,248,248,43.046,157.851,1
2,0,8,8,8,328.737,122.881,1
3,0,208,208,208,377.562,112.985,1
4,0,56,56,56,366.345,128.160,1
5,0,8,8,8,452.119,140.036,1
6,0,32,32,32,595.954,133.438,1
7,0,88,88,88,491.706,182.263,1
8,0,8,8,8,442.881,161.809,1
9,0,8,8,8,343.253,165.768,1
10,0,8,8,8,301.686,171.046,1
11,0,8,8,8,220.531,169.727,1
12,0,176,176,176,181.603,171.046,1
13,0,8,8,8,111.005,165.768,1
14,0,64,64,64,97.149,169.727,1
15,0,248,248,248,43.046,157.851,1
16,0,8,8,8,328.737,122.881,1
17,0,208,208,208,377.562,112.985,1
18,0,56,56,56,366.345,128.160,1
19,0,8,8,8,452.119,140.036,1
20,0,32,32,32,595.954,133.438,1
21,0,88,88,88,491.706,182.263,1
22,0,8,8,8,442.881,161.809,1
23,0,8,8,8,343.253,165.768,1
24,0,8,8,8,301.686,171.046,1
25,0,8,8,8,220.531,169.727,1
26,0,176,176,176,181.603,171.046,1
27,0,8,8,8,111.005,165.768,1
28,0,64,64,64,97.149,169.727,1
