 ,Area,Mean,Min,Max,X,Y
1,0,10,10,10,40.500,177.500
2,0,15,15,15,275.500,151.500
3,0,9,9,9,317.500,128.500
4,0,15,15,15,311.500,153.500
5,0,7,7,7,435.500,162.500
6,0,9,9,9,597.500,159.500
7,0,15,15,15,487.500,198.500
8,0,15,15,15,423.500,186.500
9,0,9,9,9,283.500,188.500
10,0,13,13,13,244.500,200.500
11,0,8,8,8,168.500,192.500
12,0,1,1,1,143.500,201.500
13,0,15,15,15,95.500,194.500
14,0,13,13,13,82.500,194.500
15,0,10,10,10,40.500,177.500
16,0,15,15,15,275.500,151.500
17,0,9,9,9,317.500,128.500
18,0,15,15,15,311.500,153.500
19,0,7,7,7,435.500,162.500
20,0,9,9,9,597.500,159.500
21,0,15,15,15,487.500,198.500
22,0,15,15,15,423.500,186.500
23,0,9,9,9,283.500,188.500
24,0,13,13,13,244.500,200.500
25,0,8,8,8,168.500,192.500
26,0,1,1,1,143.500,201.500
27,0,15,15,15,95.500,194.500
28,0,13,13,13,82.500,194.500
