 ,Area,Mean,Min,Max,X,Y
1,0,12,12,12,14.000,158.000
2,0,0,0,0,193.500,119.500
3,0,15,15,15,247.500,74.500
4,0,11,11,11,245.500,124.500
5,0,13,13,13,486.500,143.500
6,0,15,15,15,622.500,122.500
7,0,15,15,15,536.500,190.500
8,0,2,2,2,485.500,162.500
9,0,4,4,4,328.500,175.500
10,0,3,3,3,294.500,182.500
11,0,7,7,7,174.500,178.500
12,0,6,6,6,144.500,186.500
13,0,14,14,14,85.500,173.500
14,0,3,3,3,57.500,171.500
15,0,12,12,12,14.000,158.000
16,0,0,0,0,193.500,119.500
17,0,15,15,15,247.500,74.500
18,0,11,11,11,245.500,124.500
19,0,13,13,13,486.500,143.500
20,0,15,15,15,622.500,122.500
21,0,15,15,15,536.500,190.500
22,0,2,2,2,485.500,162.500
23,0,4,4,4,328.500,175.500
24,0,3,3,3,294.500,182.500
25,0,7,7,7,174.500,178.500
26,0,6,6,6,144.500,186.500
27,0,14,14,14,85.500,173.500
28,0,3,3,3,57.500,171.500
