 ,Area,Mean,Min,Max,X,Y
1,0,11,11,11,38.500,196.500
2,0,11,11,11,265.500,163.500
3,0,3,3,3,303.500,135.500
4,0,11,11,11,299.500,168.500
5,0,11,11,11,513.500,181.500
6,0,5,5,5,592.500,148.500
7,0,15,15,15,563.500,191.500
8,0,1,1,1,517.500,194.500
9,0,11,11,11,257.500,198.500
10,0,11,11,11,215.500,204.500
11,0,12,12,12,167.500,201.500
12,0,11,11,11,134.500,205.500
13,0,1,1,1,65.500,200.500
14,0,5,5,5,55.500,199.500
15,0,11,11,11,38.500,196.500
16,0,11,11,11,265.500,163.500
17,0,3,3,3,303.500,135.500
18,0,11,11,11,299.500,168.500
19,0,11,11,11,513.500,181.500
20,0,5,5,5,592.500,148.500
21,0,15,15,15,563.500,191.500
22,0,1,1,1,517.500,194.500
23,0,11,11,11,257.500,198.500
24,0,11,11,11,215.500,204.500
25,0,12,12,12,167.500,201.500
26,0,11,11,11,134.500,205.500
27,0,1,1,1,65.500,200.500
28,0,5,5,5,55.500,199.500
