 ,Area,Mean,Min,Max,X,Y
1,0,155,155,155,292.000,326.000
2,0,178,178,178,936.833,394.167
3,0,140,140,140,999.500,362.167
4,0,41,41,41,988.833,408.833
5,0,119,119,119,1132.833,464.833
6,0,182,182,182,1278.167,416.833
7,0,232,232,232,1254.167,607.500
8,0,110,110,110,1154.167,500.833
9,0,127,127,127,852.833,434.167
10,0,77,77,77,687.500,466.167
11,0,76,76,76,682.167,476.833
12,0,147,147,147,382.167,411.500
13,0,131,131,131,314.167,367.500
14,0,165,165,165,298.167,358.167
15,0,155,155,155,292.000,326.000
16,0,178,178,178,936.833,394.167
17,0,140,140,140,999.500,362.167
18,0,41,41,41,988.833,408.833
19,0,119,119,119,1132.833,464.833
20,0,182,182,182,1278.167,416.833
21,0,232,232,232,1254.167,607.500
22,0,110,110,110,1154.167,500.833
23,0,127,127,127,852.833,434.167
24,0,77,77,77,687.500,466.167
25,0,76,76,76,682.167,476.833
26,0,147,147,147,382.167,411.500
27,0,131,131,131,314.167,367.500
28,0,165,165,165,298.167,358.167
