 ,Area,Mean,Min,Max,X,Y,Ch
1,0,64,64,64,37.768,139.376,1
2,0,8,8,8,327.418,116.284,1
3,0,8,8,8,370.964,104.407,1
4,0,8,8,8,361.727,118.923,1
5,0,8,8,8,465.974,124.861,1
6,0,248,248,248,597.273,127.500,1
7,0,8,8,8,500.943,165.768,1
8,0,8,8,8,456.077,149.933,1
9,0,8,8,8,339.294,169.727,1
10,0,160,160,160,285.851,182.923,1
11,0,224,224,224,191.500,171.706,1
12,0,120,120,120,156.531,166.428,1
13,0,144,144,144,107.046,154.552,1
14,0,40,40,40,89.892,155.211,1
15,0,64,64,64,37.768,139.376,1
16,0,8,8,8,327.418,116.284,1
17,0,8,8,8,370.964,104.407,1
18,0,8,8,8,361.727,118.923,1
19,0,8,8,8,465.974,124.861,1
20,0,248,248,248,597.273,127.500,1
21,0,8,8,8,500.943,165.768,1
22,0,8,8,8,456.077,149.933,1
23,0,8,8,8,339.294,169.727,1
24,0,160,160,160,285.851,182.923,1
25,0,224,224,224,191.500,171.706,1
26,0,120,120,120,156.531,166.428,1
27,0,144,144,144,107.046,154.552,1
28,0,40,40,40,89.892,155.211,1
