 ,Area,Mean,Min,Max,X,Y
1,0,5,5,5,17.000,169.000
2,0,12,12,12,180.500,128.500
3,0,0,0,0,248.500,81.500
4,0,0,0,0,250.500,131.500
5,0,11,11,11,459.500,160.500
6,0,15,15,15,610.500,141.500
7,0,14,14,14,514.500,212.500
8,0,12,12,12,455.500,178.500
9,0,0,0,0,324.500,191.500
10,0,0,0,0,284.500,194.500
11,0,3,3,3,158.500,191.500
12,0,6,6,6,133.500,198.500
13,0,13,13,13,71.500,183.500
14,0,13,13,13,51.500,185.500
15,0,5,5,5,17.000,169.000
16,0,12,12,12,180.500,128.500
17,0,0,0,0,248.500,81.500
18,0,0,0,0,250.500,131.500
19,0,11,11,11,459.500,160.500
20,0,15,15,15,610.500,141.500
21,0,14,14,14,514.500,212.500
22,0,12,12,12,455.500,178.500
23,0,0,0,0,324.500,191.500
24,0,0,0,0,284.500,194.500
25,0,3,3,3,158.500,191.500
26,0,6,6,6,133.500,198.500
27,0,13,13,13,71.500,183.500
28,0,13,13,13,51.500,185.500
