 ,Area,Mean,Min,Max,X,Y
1,0,11,11,11,43.000,219.000
2,0,0,0,0,195.500,179.500
3,0,3,3,3,264.500,134.500
4,0,11,11,11,254.500,181.500
5,0,15,15,15,476.500,207.500
6,0,15,15,15,594.500,201.500
7,0,7,7,7,520.500,243.500
8,0,5,5,5,470.500,221.500
9,0,15,15,15,304.500,237.500
10,0,11,11,11,293.500,237.500
11,0,10,10,10,168.500,236.500
12,0,1,1,1,143.500,237.500
13,0,15,15,15,89.500,233.500
14,0,5,5,5,77.500,232.500
15,0,11,11,11,43.000,219.000
16,0,0,0,0,195.500,179.500
17,0,3,3,3,264.500,134.500
18,0,11,11,11,254.500,181.500
19,0,15,15,15,476.500,207.500
20,0,15,15,15,594.500,201.500
21,0,7,7,7,520.500,243.500
22,0,5,5,5,470.500,221.500
23,0,15,15,15,304.500,237.500
24,0,11,11,11,293.500,237.500
25,0,10,10,10,168.500,236.500
26,0,1,1,1,143.500,237.500
27,0,15,15,15,89.500,233.500
28,0,5,5,5,77.500,232.500
