 ,Area,Mean,Min,Max,X,Y
1,0,14,14,14,36.000,211.000
2,0,11,11,11,246.500,173.500
3,0,11,11,11,296.500,114.500
4,0,10,10,10,296.500,174.500
5,0,11,11,11,502.500,201.500
6,0,15,15,15,593.500,117.500
7,0,15,15,15,588.500,272.500
8,0,15,15,15,500.500,215.500
9,0,15,15,15,398.500,241.500
10,0,10,10,10,372.500,247.500
11,0,1,1,1,233.500,250.500
12,0,12,12,12,181.500,243.500
13,0,8,8,8,100.500,230.500
14,0,0,0,0,70.500,230.500
15,0,14,14,14,36.000,211.000
16,0,11,11,11,246.500,173.500
17,0,11,11,11,296.500,114.500
18,0,10,10,10,296.500,174.500
19,0,11,11,11,502.500,201.500
20,0,15,15,15,593.500,117.500
21,0,15,15,15,588.500,272.500
22,0,15,15,15,500.500,215.500
23,0,15,15,15,398.500,241.500
24,0,10,10,10,372.500,247.500
25,0,1,1,1,233.500,250.500
26,0,12,12,12,181.500,243.500
27,0,8,8,8,100.500,230.500
28,0,0,0,0,70.500,230.500
