 ,Area,Mean,Min,Max,X,Y
1,0,1,1,1,41.000,239.000
2,0,2,2,2,225.500,199.500
3,0,12,12,12,296.500,158.500
4,0,1,1,1,284.500,205.500
5,0,2,2,2,447.500,228.500
6,0,9,9,9,595.500,206.500
7,0,15,15,15,504.500,286.500
8,0,2,2,2,446.500,244.500
9,0,2,2,2,340.500,255.500
10,0,11,11,11,313.500,257.500
11,0,9,9,9,213.500,252.500
12,0,2,2,2,181.500,254.500
13,0,15,15,15,114.500,252.500
14,0,15,15,15,98.500,251.500
15,0,1,1,1,41.000,239.000
16,0,2,2,2,225.500,199.500
17,0,12,12,12,296.500,158.500
18,0,1,1,1,284.500,205.500
19,0,2,2,2,447.500,228.500
20,0,9,9,9,595.500,206.500
21,0,15,15,15,504.500,286.500
22,0,2,2,2,446.500,244.500
23,0,2,2,2,340.500,255.500
24,0,11,11,11,313.500,257.500
25,0,9,9,9,213.500,252.500
26,0,2,2,2,181.500,254.500
27,0,15,15,15,114.500,252.500
28,0,15,15,15,98.500,251.500
