 ,Area,Mean,Min,Max,X,Y
1,0,4,4,4,34.000,249.000
2,0,3,3,3,189.500,205.500
3,0,9,9,9,243.500,152.500
4,0,5,5,5,250.500,206.500
5,0,4,4,4,482.500,224.500
6,0,12,12,12,598.500,190.500
7,0,15,15,15,519.500,258.500
8,0,10,10,10,480.500,239.500
9,0,15,15,15,315.500,252.500
10,0,15,15,15,283.500,261.500
11,0,2,2,2,180.500,263.500
12,0,5,5,5,138.500,262.500
13,0,5,5,5,83.500,257.500
14,0,5,5,5,72.500,257.500
15,0,4,4,4,34.000,249.000
16,0,3,3,3,189.500,205.500
17,0,9,9,9,243.500,152.500
18,0,5,5,5,250.500,206.500
19,0,4,4,4,482.500,224.500
20,0,12,12,12,598.500,190.500
21,0,15,15,15,519.500,258.500
22,0,10,10,10,480.500,239.500
23,0,15,15,15,315.500,252.500
24,0,15,15,15,283.500,261.500
25,0,2,2,2,180.500,263.500
26,0,5,5,5,138.500,262.500
27,0,5,5,5,83.500,257.500
28,0,5,5,5,72.500,257.500
