 ,Area,Mean,Min,Max,X,Y
1,0,4,4,4,33.000,211.000
2,0,6,6,6,187.500,177.500
3,0,4,4,4,231.500,136.500
4,0,2,2,2,233.500,182.500
5,0,15,15,15,482.500,209.500
6,0,4,4,4,607.500,179.500
7,0,15,15,15,509.500,241.500
8,0,1,1,1,471.500,221.500
9,0,5,5,5,321.500,232.500
10,0,4,4,4,295.500,239.500
11,0,15,15,15,183.500,232.500
12,0,11,11,11,146.500,229.500
13,0,15,15,15,96.500,228.500
14,0,4,4,4,81.500,230.500
15,0,4,4,4,33.000,211.000
16,0,6,6,6,187.500,177.500
17,0,4,4,4,231.500,136.500
18,0,2,2,2,233.500,182.500
19,0,15,15,15,482.500,209.500
20,0,4,4,4,607.500,179.500
21,0,15,15,15,509.500,241.500
22,0,1,1,1,471.500,221.500
23,0,5,5,5,321.500,232.500
24,0,4,4,4,295.500,239.500
25,0,15,15,15,183.500,232.500
26,0,11,11,11,146.500,229.500
27,0,15,15,15,96.500,228.500
28,0,4,4,4,81.500,230.500
